;Cluster;Nom_Cluster;Cluster_S;Nom_Cluster_Sol;Count_Cluster_S
5551;189;frrouapwsdr001 host down critical ;35;situation nominal ;60
5552;189;frrouapwsdr001 host down critical ;36;erreur sup ;49
5560;189;frrouapwsdr001 host down critical ;48;site ok cloture ;42
5546;189;frrouapwsdr001 host down critical ;29;equipement joignable cloturon ;33
5568;190;vincienergie fr0337ara01 10 195 2 157 fr0337ara01 10 195 2 157 is down ;6;redemarrage le equipement fournir lien mpl ;21
5593;190;vincienergie fr0337ara01 10 195 2 157 fr0337ara01 10 195 2 157 is down ;35;situation nominal ;19
5579;190;vincienergie fr0337ara01 10 195 2 157 fr0337ara01 10 195 2 157 is down ;20;site nouveau operationnelle ;16
5604;190;vincienergie fr0337ara01 10 195 2 157 fr0337ara01 10 195 2 157 is down ;49;service retablir bagottemer trop rapide alarme n avoir temp d etre  clearer   dans sup ;14
5582;190;vincienergie fr0337ara01 10 195 2 157 fr0337ara01 10 195 2 157 is down ;23;client ;13
5617;191;hcl uniha a4lcb1 s1 chu lyon fr snmp cisco 3850 alim 2a snmp cisco 3850 alim 2b is down at least 15 min ;20;site nouveau operationnelle ;11
5616;191;hcl uniha a4lcb1 s1 chu lyon fr snmp cisco 3850 alim 2a snmp cisco 3850 alim 2b is down at least 15 min ;19;bug cosmetique cisco le alimentation fonctionne normalement sw pid serial statu sy pwr poe pwr watt 1a pwr c1 715wac dcb1902g03k ok good good 715 1b pwr c1 715wac lit19351dr1 ok good good 715 2a pwr c1 715wac dcb1910g14v ok good good 715 2b pwr c1 715wac dcb1910g12 t no response good good 715 ;9
5615;191;hcl uniha a4lcb1 s1 chu lyon fr snmp cisco 3850 alim 2a snmp cisco 3850 alim 2b is down at least 15 min ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;6
5607;191;hcl uniha a4lcb1 s1 chu lyon fr snmp cisco 3850 alim 2a snmp cisco 3850 alim 2b is down at least 15 min ;6;redemarrage le equipement fournir lien mpl ;5
5610;191;hcl uniha a4lcb1 s1 chu lyon fr snmp cisco 3850 alim 2a snmp cisco 3850 alim 2b is down at least 15 min ;9;liaison rester operationnel suite de un test connectiviter dossier clore ;5
5648;192;cisco rt fle is down ;22;service retablir suite redemarrage electrique routeur ;40
5636;192;cisco rt fle is down ;6;redemarrage le equipement fournir lien mpl ;22
5657;192;cisco rt fle is down ;35;situation nominal ;19
5632;192;cisco rt fle is down ;1;service operationnel aucun maintenance curatif test correct validon bon fonctionnement service ;17
5646;192;cisco rt fle is down ;20;site nouveau operationnelle ;16
5669;193;interface down ;20;site nouveau operationnelle ;2
5668;193;interface down ;11;we have been advised about the rfo  avoir flap of fiber link between 2 supplier backbone router lead to crash of vpl routing service were switched to backup router and are now normalized  ;1
5670;193;interface down ;23;client ;1
5671;193;interface down ;36;erreur sup ;1
5672;193;interface down ;39;nom ;1
5693;194;marly ville sev2 c23622132 notification suivre ;38;ferme sfr ;90
5696;194;marly ville sev2 c23622132 notification suivre ;48;site ok cloture ;41
5676;194;marly ville sev2 c23622132 notification suivre ;2;cloture dossier ;25
5688;194;marly ville sev2 c23622132 notification suivre ;31;ticket doublon ;22
5681;194;marly ville sev2 c23622132 notification suivre ;17;cloture ;16
5722;195;switch hs ;46;validation supervision ;78
5720;195;switch hs ;43;remplacement power injector ;68
5721;195;switch hs ;44;remplacemer switch ;41
5715;195;switch hs ;36;erreur sup ;32
5710;195;switch hs ;26;suite projet remplacement switch hs switch dell procedon clotur dossier passon equipement mute alerte concerner informer planning deploiemer ;15
5731;196;alarme outil monitoring ;11;we have been advised about the rfo  avoir flap of fiber link between 2 supplier backbone router lead to crash of vpl routing service were switched to backup router and are now normalized  ;16
5725;196;alarme outil monitoring ;1;service operationnel aucun maintenance curatif test correct validon bon fonctionnement service ;9
5734;196;alarme outil monitoring ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;8
5728;196;alarme outil monitoring ;6;redemarrage le equipement fournir lien mpl ;7
5740;196;alarme outil monitoring ;27;2 equipement redemarrer electriquement system up time 0 day 8 hr 18 min 34 sec ;6
5789;197;demande rma v s720 10 gramme ;49;service retablir bagottemer trop rapide alarme n avoir temp d etre  clearer   dans sup ;55
5765;197;demande rma v s720 10 gramme ;13;pb regler ;38
5780;197;demande rma v s720 10 gramme ;36;erreur sup ;29
5774;197;demande rma v s720 10 gramme ;26;suite projet remplacement switch hs switch dell procedon clotur dossier passon equipement mute alerte concerner informer planning deploiemer ;26
5767;197;demande rma v s720 10 gramme ;16;mauvais definition de un objet concentrateur suite modification sup le australie ;22
5797;198;routeur 4 gramme ;21;lien operationnel connexion ok ;26
5791;198;routeur 4 gramme ;7;intervention realiser ;15
5805;198;routeur 4 gramme ;46;validation supervision ;14
5804;198;routeur 4 gramme ;43;remplacement power injector ;8
5796;198;routeur 4 gramme ;20;site nouveau operationnelle ;7
5817;199;airbus elancourt confirmation rmer axians spie ;15;service operationnel suite reboot equipement test correct validon bon fonctionnement service ;16
5829;199;airbus elancourt confirmation rmer axians spie ;45;redemarrage le equipement fournir lien mpl bon fonctionnement reseau etre valider client ;10
5813;199;airbus elancourt confirmation rmer axians spie ;10;clotur stabilite lien ;7
5808;199;airbus elancourt confirmation rmer axians spie ;1;service operationnel aucun maintenance curatif test correct validon bon fonctionnement service ;6
5816;199;airbus elancourt confirmation rmer axians spie ;14;le incident etre resoudre le operateur ;5
